pubblication_date,oggetto,cig,importoAggiudicazione,vendor_code,agency_name,sceltaContraente,agency_fiscal_code,vendor_name,importoSommeLiquidate,vendor_country
2011-1,MANUTENZIONE STRAORDINARIA FABBRICATI ANNO 2011 - ZONA 4 - ARTUSO,23483331B2,0,,AZIENDA TERRITORIALE PER L&apos;EDILIZIA RESIDENZIALE - A.T.E.R.,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,00165800244,,0,
2011-1,GESTIONE DEL SERVIZIO DI ILLUMINAZIONE PUBBLICA E REALIZZAZIONE DI INTERVENTI DI MIGLIORAMENTO DELL&apos;EFFICIENZA ENERGETICA E DI ADEGUAMENTO NORMATIVO SULL&apos;IMPIANTO COMUNALE,070429529E,2794784.46,05888721007,COMUNE DI FORINO,01-PROCEDURA APERTA,80006850640,SOCIETA MANUTENZIONE ILLUMINAZIONE SPA,0,ITALY
2011-1,SERVIZIO DI NOLEGGIO CASSONI IN LODI E DI TRASPORTO E INVIO A RECUPERO DI MATERIALE PROVENIENTE DA PIAZZOLE ECOLOGICHE IN CONVENZIONE RILEGNO,083911184B,85000.00,02637210168,ASTEM GESTIONI S.R.L.,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,04813200963,ECOLEGNO BERGAMASCA S.R.L.,0,ITALY
2011-1,CONTRIBUTO PER GESTIONE PALEZZETTO MARCELLO PADOVANI,2932991CBA,0,,PARMA INFRASTRUTTURE SPA,01-PROCEDURA APERTA,02346630342,,0,
2011-1,FARMACIE ESTERNE PRIVATE CONVENZIONATE,286585525C,0,,AZIENDA SANITARIA LOCALE BARI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,06534340721,,0,
2011-1,DISTINTA MENSILE FARMACI E SERVIZI FARMACIA BONCOMPAGNI,2909373A8A,0,,AZIENDA USL 8 - AREZZO,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,01458450515,,0,
2011-1,NOTIFICA CONTRAVVENZIONI POSTE ITALIANE,3251548E47,0,,COMUNE DI FRATTAMAGGIORE,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,80024820633,,0,
2011-1,FARMACIE ESTERNE PRIVATE CONVENZIONATE,2867964EBF,0,,AZIENDA SANITARIA LOCALE BARI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,06534340721,,0,
2011-1,LOTTO 01 - DIVISIONE NORD EST,0757918DB4,0,,G6 RETE GAS S.P.A.,02-PROCEDURA RISTRETTA,13422920150,,0,
2011-1,FORNITURA LAME E FRESE PER ARTROSCOPIA E CHIRURGIA MAXILOFACCIALE,0891174C09,78000.00,05297730961,AZIENDA ULSS 18 ROVIGO,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,01013470297,CONMED ITALIA SPA,0,ITALY
2011-1,CENTRO DIURNO INTEGRATO,0740339311,0,,COMUNE DI PORTICI,01-PROCEDURA APERTA,80015980636,,0,
2011-1,"PROCEDURA APERTA PER LA FORNITURA ALL&apos;ENEA DI ABBONAMENTI A PUBBLICAZIONI PERIODICHE NAZIONALI ED ESTERE, PER GLI ANNI 2011,2012 E 2013",0824092E37,1297800.00,,"ENTE PER LE NUOVE TECNOLOGIE, L&apos;ENERGIA E L&apos;AMBIENTE",01-PROCEDURA APERTA,01320740580,,0,
2011-1,DISTINTA MENSILE FARMACI E SERVIZI FARMACIA COMUNALE 1 SAN GIOVANNI VALDARNO,289348642E,0,,AZIENDA USL 8 - AREZZO,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,01458450515,,0,
2011-1,GARA CENTRALIZZATA REGIONALE A PROCEDURA APERTA FINALIZZATA ALLA REALIZZAZIONE DI UN ACCORDO QUADRO PER LA FORNITURA ED INSTALLAZIONE DI RMN TAC E GAMMA CAMERA PER LE AZIENDE DEL SERVIZIO SANITARIO REGIONALE DELLA REGIONE SICILIA,3482271CEC,0,,AZIENDA OSPEDALIERA OSPEDALI RIUNITI PAPARDO- PIEMONTE,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,03051880833,,0,
2011-1,FORNITURA VARIE PARTI DI RICAMBIO PER AUTOBUS.,0808454557,0,,AZIENDA PER LA MOBILITA&apos; DEL COMUNE DI ROMA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,06341981006,,0,
